question,answer
How to prepare a Cosmopolitan?,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
How do you make a Cosmopolitan?,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
How is a Cosmopolitan made?,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
What are the steps to make a Cosmopolitan?,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
How do I serve a Cosmopolitan?,Serve a Cosmopolitan in a Cocktail glass.
Is a Cosmopolitan alcoholic?,Cosmopolitan is listed as: Alcoholic.
Does Cosmopolitan contain alcohol?,Cosmopolitan is listed as: Alcoholic.
What category is a Cosmopolitan?,Cosmopolitan is in the category: Cocktail.
"Is Cosmopolitan a cocktail, shot, or something else?",Cosmopolitan is in the category: Cocktail.
What glass is a Cosmopolitan served in?,Cosmopolitan is served in a Cocktail glass.
What glassware do I need for a Cosmopolitan?,You need a Cocktail glass for a Cosmopolitan.
Tell me about the Cosmopolitan cocktail.,question Generate a cocktail with Vodka Lime juice Cointreau Cranberry juice answer Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
What is in a Daiquiri?,"Daiquiri contains: 1 1/2 oz Light rum, Juice of 1/2 Lime, 1 tsp Powdered sugar."
What ingredients are in a Daiquiri?,"The ingredients for Daiquiri are: 1 1/2 oz Light rum, Juice of 1/2 Lime, 1 tsp Powdered sugar."
List the ingredients of a Daiquiri.,"Daiquiri uses: 1 1/2 oz Light rum, Juice of 1/2 Lime, 1 tsp Powdered sugar."
What's in the Daiquiri cocktail?,"The Daiquiri cocktail contains: 1 1/2 oz Light rum, Juice of 1/2 Lime, 1 tsp Powdered sugar."
Does a Daiquiri contain Light rum?,Yes — Daiquiri includes Light rum.
How to prepare a Daiquiri?,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
How do you make a Daiquiri?,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
How is a Daiquiri made?,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
What are the steps to make a Daiquiri?,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
How do I serve a Daiquiri?,Serve a Daiquiri in a Cocktail glass.
Is a Daiquiri alcoholic?,Daiquiri is listed as: Alcoholic.
Does Daiquiri contain alcohol?,Daiquiri is listed as: Alcoholic.
What category is a Daiquiri?,Daiquiri is in the category: Ordinary Drink.
"Is Daiquiri a cocktail, shot, or something else?",Daiquiri is in the category: Ordinary Drink.
What glass is a Daiquiri served in?,Daiquiri is served in a Cocktail glass.
What glassware do I need for a Daiquiri?,You need a Cocktail glass for a Daiquiri.
Tell me about the Daiquiri cocktail.,question Generate a cocktail with Light rum Lime Powdered sugar answer Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
What is in a Dry Martini?,"Dry Martini contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
What ingredients are in a Dry Martini?,"The ingredients for Dry Martini are: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
List the ingredients of a Dry Martini.,"Dry Martini uses: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
What's in the Dry Martini cocktail?,"The Dry Martini cocktail contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
Does a Dry Martini contain Gin?,Yes — Dry Martini includes Gin.
How to prepare a Dry Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How do you make a Dry Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How is a Dry Martini made?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
What are the steps to make a Dry Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How do I serve a Dry Martini?,Serve a Dry Martini in a Cocktail glass.
Is a Dry Martini alcoholic?,Dry Martini is listed as: Alcoholic.
Does Dry Martini contain alcohol?,Dry Martini is listed as: Alcoholic.
What category is a Dry Martini?,Dry Martini is in the category: Cocktail.
"Is Dry Martini a cocktail, shot, or something else?",Dry Martini is in the category: Cocktail.
What glass is a Dry Martini served in?,Dry Martini is served in a Cocktail glass.
What glassware do I need for a Dry Martini?,You need a Cocktail glass for a Dry Martini.
Tell me about the Dry Martini cocktail.,"question Generate a cocktail with Gin Dry Vermouth Olive answer Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
What is in a Dirty Martini?,"Dirty Martini contains: 70ml/2fl oz Vodka, 1 tbsp Dry Vermouth, 2 tbsp Olive Brine, 1 wedge Lemon, 1 Olive."
What ingredients are in a Dirty Martini?,"The ingredients for Dirty Martini are: 70ml/2fl oz Vodka, 1 tbsp Dry Vermouth, 2 tbsp Olive Brine, 1 wedge Lemon, 1 Olive."
List the ingredients of a Dirty Martini.,"Dirty Martini uses: 70ml/2fl oz Vodka, 1 tbsp Dry Vermouth, 2 tbsp Olive Brine, 1 wedge Lemon, 1 Olive."
What's in the Dirty Martini cocktail?,"The Dirty Martini cocktail contains: 70ml/2fl oz Vodka, 1 tbsp Dry Vermouth, 2 tbsp Olive Brine, 1 wedge Lemon, 1 Olive."
Does a Dirty Martini contain Vodka?,Yes — Dirty Martini includes Vodka.
How to prepare a Dirty Martini?,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well. Rub the rim of a martini glass with the wedge of lemon. Strain the contents of the cocktail shaker into the glass and add the olive. A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
How do you make a Dirty Martini?,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well. Rub the rim of a martini glass with the wedge of lemon. Strain the contents of the cocktail shaker into the glass and add the olive. A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
How is a Dirty Martini made?,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well. Rub the rim of a martini glass with the wedge of lemon. Strain the contents of the cocktail shaker into the glass and add the olive. A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
What are the steps to make a Dirty Martini?,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well. Rub the rim of a martini glass with the wedge of lemon. Strain the contents of the cocktail shaker into the glass and add the olive. A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
How do I serve a Dirty Martini?,Serve a Dirty Martini in a Cocktail glass.
Is a Dirty Martini alcoholic?,Dirty Martini is listed as: Alcoholic.
Does Dirty Martini contain alcohol?,Dirty Martini is listed as: Alcoholic.
What category is a Dirty Martini?,Dirty Martini is in the category: Cocktail.
"Is Dirty Martini a cocktail, shot, or something else?",Dirty Martini is in the category: Cocktail.
What glass is a Dirty Martini served in?,Dirty Martini is served in a Cocktail glass.
What glassware do I need for a Dirty Martini?,You need a Cocktail glass for a Dirty Martini.
Tell me about the Dirty Martini cocktail.,"question Generate a cocktail with Vodka Dry Vermouth Olive Brine Lemon Olive answer Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well. Rub the rim of a martini glass with the wedge of lemon. Strain the contents of the cocktail shaker into the glass and add the olive. A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
What is in a Espresso Martini?,"Espresso Martini contains: 5 cl Vodka, 1 cl Kahlua, 1 dash Sugar syrup."
What ingredients are in a Espresso Martini?,"The ingredients for Espresso Martini are: 5 cl Vodka, 1 cl Kahlua, 1 dash Sugar syrup."
List the ingredients of a Espresso Martini.,"Espresso Martini uses: 5 cl Vodka, 1 cl Kahlua, 1 dash Sugar syrup."
What's in the Espresso Martini cocktail?,"The Espresso Martini cocktail contains: 5 cl Vodka, 1 cl Kahlua, 1 dash Sugar syrup."
Does a Espresso Martini contain Vodka?,Yes — Espresso Martini includes Vodka.
How to prepare a Espresso Martini?,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
How do you make a Espresso Martini?,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
How is a Espresso Martini made?,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
What are the steps to make a Espresso Martini?,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
How do I serve a Espresso Martini?,Serve a Espresso Martini in a Cocktail glass.
Is a Espresso Martini alcoholic?,Espresso Martini is listed as: Alcoholic.
Does Espresso Martini contain alcohol?,Espresso Martini is listed as: Alcoholic.
What category is a Espresso Martini?,Espresso Martini is in the category: Cocktail.
"Is Espresso Martini a cocktail, shot, or something else?",Espresso Martini is in the category: Cocktail.
What glass is a Espresso Martini served in?,Espresso Martini is served in a Cocktail glass.
What glassware do I need for a Espresso Martini?,You need a Cocktail glass for a Espresso Martini.
Tell me about the Espresso Martini cocktail.,"question Generate a cocktail with Vodka Kahlua Sugar syrup answer Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
What is in a French 75?,"French 75 contains: 1 1/2 oz Gin, 2 tsp superfine Sugar, 1 1/2 oz Lemon juice, 4 oz Chilled Champagne, 1 Orange, 1 Maraschino cherry."
What ingredients are in a French 75?,"The ingredients for French 75 are: 1 1/2 oz Gin, 2 tsp superfine Sugar, 1 1/2 oz Lemon juice, 4 oz Chilled Champagne, 1 Orange, 1 Maraschino cherry."
List the ingredients of a French 75.,"French 75 uses: 1 1/2 oz Gin, 2 tsp superfine Sugar, 1 1/2 oz Lemon juice, 4 oz Chilled Champagne, 1 Orange, 1 Maraschino cherry."
What's in the French 75 cocktail?,"The French 75 cocktail contains: 1 1/2 oz Gin, 2 tsp superfine Sugar, 1 1/2 oz Lemon juice, 4 oz Chilled Champagne, 1 Orange, 1 Maraschino cherry."
Does a French 75 contain Gin?,Yes — French 75 includes Gin.
How to prepare a French 75?,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
How do you make a French 75?,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
How is a French 75 made?,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
What are the steps to make a French 75?,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
How do I serve a French 75?,Serve a French 75 in a Collins glass.
Is a French 75 alcoholic?,French 75 is listed as: Alcoholic.
Does French 75 contain alcohol?,French 75 is listed as: Alcoholic.
What category is a French 75?,French 75 is in the category: Ordinary Drink.
"Is French 75 a cocktail, shot, or something else?",French 75 is in the category: Ordinary Drink.
What glass is a French 75 served in?,French 75 is served in a Collins glass.
What glassware do I need for a French 75?,You need a Collins glass for a French 75.
Tell me about the French 75 cocktail.,"question Generate a cocktail with Gin Sugar Lemon juice Champagne Orange Maraschino cherry answer Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
What is in a French Martini?,"French Martini contains: 4.5 cl Vodka, 1.5 cl Raspberry Liqueur, 1.5 cl pineapple juice."
What ingredients are in a French Martini?,"The ingredients for French Martini are: 4.5 cl Vodka, 1.5 cl Raspberry Liqueur, 1.5 cl pineapple juice."
List the ingredients of a French Martini.,"French Martini uses: 4.5 cl Vodka, 1.5 cl Raspberry Liqueur, 1.5 cl pineapple juice."
What's in the French Martini cocktail?,"The French Martini cocktail contains: 4.5 cl Vodka, 1.5 cl Raspberry Liqueur, 1.5 cl pineapple juice."
Does a French Martini contain Vodka?,Yes — French Martini includes Vodka.
How to prepare a French Martini?,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
How do you make a French Martini?,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
How is a French Martini made?,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
What are the steps to make a French Martini?,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
How do I serve a French Martini?,Serve a French Martini in a Cocktail glass.
Is a French Martini alcoholic?,French Martini is listed as: Alcoholic.
Does French Martini contain alcohol?,French Martini is listed as: Alcoholic.
What category is a French Martini?,French Martini is in the category: Cocktail.
"Is French Martini a cocktail, shot, or something else?",French Martini is in the category: Cocktail.
What glass is a French Martini served in?,French Martini is served in a Cocktail glass.
What glassware do I need for a French Martini?,You need a Cocktail glass for a French Martini.
Tell me about the French Martini cocktail.,question Generate a cocktail with Vodka Raspberry Liqueur pineapple juice answer Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
What is in a French Negroni?,"French Negroni contains: 1 oz Gin, 1 oz Lillet, 1 oz Sweet Vermouth, 1 Orange Peel."
What ingredients are in a French Negroni?,"The ingredients for French Negroni are: 1 oz Gin, 1 oz Lillet, 1 oz Sweet Vermouth, 1 Orange Peel."
List the ingredients of a French Negroni.,"French Negroni uses: 1 oz Gin, 1 oz Lillet, 1 oz Sweet Vermouth, 1 Orange Peel."
What's in the French Negroni cocktail?,"The French Negroni cocktail contains: 1 oz Gin, 1 oz Lillet, 1 oz Sweet Vermouth, 1 Orange Peel."
Does a French Negroni contain Gin?,Yes — French Negroni includes Gin.
How to prepare a French Negroni?,"Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
How do you make a French Negroni?,"Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
How is a French Negroni made?,"Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
What are the steps to make a French Negroni?,"Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
How do I serve a French Negroni?,Serve a French Negroni in a Martini Glass.
Is a French Negroni alcoholic?,French Negroni is listed as: Alcoholic.
Does French Negroni contain alcohol?,French Negroni is listed as: Alcoholic.
What category is a French Negroni?,French Negroni is in the category: Cocktail.
"Is French Negroni a cocktail, shot, or something else?",French Negroni is in the category: Cocktail.
What glass is a French Negroni served in?,French Negroni is served in a Martini Glass.
What glassware do I need for a French Negroni?,You need a Martini Glass for a French Negroni.
Tell me about the French Negroni cocktail.,"question Generate a cocktail with Gin Lillet Sweet Vermouth Orange Peel answer Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
What is in a Frozen Daiquiri?,"Frozen Daiquiri contains: 1 1/2 oz Light rum, 1 tblsp Triple sec, 1 1/2 oz Lime juice, 1 tsp Sugar, 1 Cherry, 1 cup crushed Ice."
What ingredients are in a Frozen Daiquiri?,"The ingredients for Frozen Daiquiri are: 1 1/2 oz Light rum, 1 tblsp Triple sec, 1 1/2 oz Lime juice, 1 tsp Sugar, 1 Cherry, 1 cup crushed Ice."
List the ingredients of a Frozen Daiquiri.,"Frozen Daiquiri uses: 1 1/2 oz Light rum, 1 tblsp Triple sec, 1 1/2 oz Lime juice, 1 tsp Sugar, 1 Cherry, 1 cup crushed Ice."
What's in the Frozen Daiquiri cocktail?,"The Frozen Daiquiri cocktail contains: 1 1/2 oz Light rum, 1 tblsp Triple sec, 1 1/2 oz Lime juice, 1 tsp Sugar, 1 Cherry, 1 cup crushed Ice."
Does a Frozen Daiquiri contain Light rum?,Yes — Frozen Daiquiri includes Light rum.
How to prepare a Frozen Daiquiri?,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
How do you make a Frozen Daiquiri?,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
How is a Frozen Daiquiri made?,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
What are the steps to make a Frozen Daiquiri?,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
How do I serve a Frozen Daiquiri?,Serve a Frozen Daiquiri in a Champagne flute.
Is a Frozen Daiquiri alcoholic?,Frozen Daiquiri is listed as: Alcoholic.
Does Frozen Daiquiri contain alcohol?,Frozen Daiquiri is listed as: Alcoholic.
What category is a Frozen Daiquiri?,Frozen Daiquiri is in the category: Ordinary Drink.
"Is Frozen Daiquiri a cocktail, shot, or something else?",Frozen Daiquiri is in the category: Ordinary Drink.
What glass is a Frozen Daiquiri served in?,Frozen Daiquiri is served in a Champagne flute.
What glassware do I need for a Frozen Daiquiri?,You need a Champagne flute for a Frozen Daiquiri.
Tell me about the Frozen Daiquiri cocktail.,"question Generate a cocktail with Light rum Triple sec Lime juice Sugar Cherry Ice answer Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
What is in a Frozen Mint Daiquiri?,"Frozen Mint Daiquiri contains: 2 oz Light rum, 1 tblsp Lime juice, 6 Mint, 1 tsp Sugar."
What ingredients are in a Frozen Mint Daiquiri?,"The ingredients for Frozen Mint Daiquiri are: 2 oz Light rum, 1 tblsp Lime juice, 6 Mint, 1 tsp Sugar."
List the ingredients of a Frozen Mint Daiquiri.,"Frozen Mint Daiquiri uses: 2 oz Light rum, 1 tblsp Lime juice, 6 Mint, 1 tsp Sugar."
What's in the Frozen Mint Daiquiri cocktail?,"The Frozen Mint Daiquiri cocktail contains: 2 oz Light rum, 1 tblsp Lime juice, 6 Mint, 1 tsp Sugar."
Does a Frozen Mint Daiquiri contain Light rum?,Yes — Frozen Mint Daiquiri includes Light rum.
How to prepare a Frozen Mint Daiquiri?,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
How do you make a Frozen Mint Daiquiri?,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
How is a Frozen Mint Daiquiri made?,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
What are the steps to make a Frozen Mint Daiquiri?,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
How do I serve a Frozen Mint Daiquiri?,Serve a Frozen Mint Daiquiri in a Old-fashioned glass.
Is a Frozen Mint Daiquiri alcoholic?,Frozen Mint Daiquiri is listed as: Alcoholic.
Does Frozen Mint Daiquiri contain alcohol?,Frozen Mint Daiquiri is listed as: Alcoholic.
What category is a Frozen Mint Daiquiri?,Frozen Mint Daiquiri is in the category: Ordinary Drink.
"Is Frozen Mint Daiquiri a cocktail, shot, or something else?",Frozen Mint Daiquiri is in the category: Ordinary Drink.
What glass is a Frozen Mint Daiquiri served in?,Frozen Mint Daiquiri is served in a Old-fashioned glass.
What glassware do I need for a Frozen Mint Daiquiri?,You need a Old-fashioned glass for a Frozen Mint Daiquiri.
Tell me about the Frozen Mint Daiquiri cocktail.,question Generate a cocktail with Light rum Lime juice Mint Sugar answer Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
What is in a Frozen Pineapple Daiquiri?,"Frozen Pineapple Daiquiri contains: 1 1/2 oz Light rum, 4 chunks Pineapple, 1 tblsp Lime juice, 1/2 tsp Sugar."
What ingredients are in a Frozen Pineapple Daiquiri?,"The ingredients for Frozen Pineapple Daiquiri are: 1 1/2 oz Light rum, 4 chunks Pineapple, 1 tblsp Lime juice, 1/2 tsp Sugar."
List the ingredients of a Frozen Pineapple Daiquiri.,"Frozen Pineapple Daiquiri uses: 1 1/2 oz Light rum, 4 chunks Pineapple, 1 tblsp Lime juice, 1/2 tsp Sugar."
What's in the Frozen Pineapple Daiquiri cocktail?,"The Frozen Pineapple Daiquiri cocktail contains: 1 1/2 oz Light rum, 4 chunks Pineapple, 1 tblsp Lime juice, 1/2 tsp Sugar."
Does a Frozen Pineapple Daiquiri contain Light rum?,Yes — Frozen Pineapple Daiquiri includes Light rum.
How to prepare a Frozen Pineapple Daiquiri?,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
How do you make a Frozen Pineapple Daiquiri?,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
How is a Frozen Pineapple Daiquiri made?,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
What are the steps to make a Frozen Pineapple Daiquiri?,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
How do I serve a Frozen Pineapple Daiquiri?,Serve a Frozen Pineapple Daiquiri in a Cocktail Glass.
Is a Frozen Pineapple Daiquiri alcoholic?,Frozen Pineapple Daiquiri is listed as: Alcoholic.
Does Frozen Pineapple Daiquiri contain alcohol?,Frozen Pineapple Daiquiri is listed as: Alcoholic.
What category is a Frozen Pineapple Daiquiri?,Frozen Pineapple Daiquiri is in the category: Ordinary Drink.
"Is Frozen Pineapple Daiquiri a cocktail, shot, or something else?",Frozen Pineapple Daiquiri is in the category: Ordinary Drink.
What glass is a Frozen Pineapple Daiquiri served in?,Frozen Pineapple Daiquiri is served in a Cocktail Glass.
What glassware do I need for a Frozen Pineapple Daiquiri?,You need a Cocktail Glass for a Frozen Pineapple Daiquiri.
Tell me about the Frozen Pineapple Daiquiri cocktail.,question Generate a cocktail with Light rum Pineapple Lime juice Sugar answer Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
What is in a Kiwi Martini?,"Kiwi Martini contains: 1/2 Kiwi, 1 tsp Sugar Syrup, 1 1/2 oz Vodka, Garnish with Kiwi."
What ingredients are in a Kiwi Martini?,"The ingredients for Kiwi Martini are: 1/2 Kiwi, 1 tsp Sugar Syrup, 1 1/2 oz Vodka, Garnish with Kiwi."
List the ingredients of a Kiwi Martini.,"Kiwi Martini uses: 1/2 Kiwi, 1 tsp Sugar Syrup, 1 1/2 oz Vodka, Garnish with Kiwi."
What's in the Kiwi Martini cocktail?,"The Kiwi Martini cocktail contains: 1/2 Kiwi, 1 tsp Sugar Syrup, 1 1/2 oz Vodka, Garnish with Kiwi."
Does a Kiwi Martini contain Kiwi?,Yes — Kiwi Martini includes Kiwi.
How to prepare a Kiwi Martini?,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka."
How do you make a Kiwi Martini?,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka."
How is a Kiwi Martini made?,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka."
What are the steps to make a Kiwi Martini?,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka."
How do I serve a Kiwi Martini?,Serve a Kiwi Martini in a Cocktail glass.
Is a Kiwi Martini alcoholic?,Kiwi Martini is listed as: Alcoholic.
Does Kiwi Martini contain alcohol?,Kiwi Martini is listed as: Alcoholic.
What category is a Kiwi Martini?,Kiwi Martini is in the category: Cocktail.
"Is Kiwi Martini a cocktail, shot, or something else?",Kiwi Martini is in the category: Cocktail.
What glass is a Kiwi Martini served in?,Kiwi Martini is served in a Cocktail glass.
What glassware do I need for a Kiwi Martini?,You need a Cocktail glass for a Kiwi Martini.
